1.46,3,2.03,8.6,0.1,8.07
1.46,3,2.03,8.67,0.1,8.08
1.56,3,2.04,8.74,0.1,8.09
1.56,3,2.03,8.81,0.1,8.1
1.51,3,2.04,8.88,0.1,8.11
1.51,3,2.06,8.95,0.1,8.12
1.56,3,2.06,9.02,0.1,8.13
1.62,3,2.06,9.09,0.1,8.14
1.67,3,2.07,9.16,0.1,8.15
1.67,3,2.07,9.23,0.1,8.16
1.67,3,2.08,9.29,0.11,8.17
1.67,3,2.08,9.36,0.11,8.18
1.72,3,2.08,9.43,0.11,8.19
1.67,3,2.08,9.49,0.11,8.2
1.67,3,2.07,9.56,0.11,8.21
1.72,3,2.09,9.62,0.11,8.22
1.77,3,2.08,9.69,0.11,8.23
1.72,3,2.06,9.75,0.11,8.24
1.88,3,2.06,9.82,0.11,8.25
1.77,3,2.05,9.88,0.11,8.26
1.83,3,2.05,9.94,0.11,8.27
1.88,3,2.05,10.01,0.11,8.28
1.88,3,2.03,10.07,0.11,8.29
1.88,3,2.05,10.13,0.11,8.3
1.88,3,2.04,10.19,0.11,8.31
1.93,3,2.03,10.25,0.11,8.32
1.93,3,2.03,10.31,0.11,8.33
1.98,3,2.04,10.37,0.11,8.34
1.98,3,2.02,10.43,0.11,8.35
1.98,3,2.02,10.49,0.11,8.36
1.98,3,2.01,10.55,0.11,8.37
1.98,3,2.03,10.61,0.11,8.38
2.04,3,2.01,10.67,0.11,8.39
2.04,3,2.02,10.72,0.12,8.4
2.09,3,2.01,10.78,0.12,8.41
2.09,3,2.01,10.84,0.12,8.42
2.14,3,2.03,10.9,0.12,8.43
2.09,3,2.02,10.95,0.12,8.44
2.14,3,2.01,11.01,0.12,8.45
2.14,3,2.03,11.06,0.12,8.46
2.14,3,2.01,11.12,0.12,8.47
2.2,3,2.03,11.17,0.12,8.48
2.14,3,2.01,11.23,0.12,8.49
2.14,3,2.01,11.28,0.12,8.5
2.2,3,2,11.33,0.12,8.51
2.2,3,2.01,11.39,0.12,8.52
2.2,3,1.98,11.44,0.12,8.53
2.3,3,1.97,11.49,0.12,8.54
2.2,3,1.97,11.54,0.12,8.55
2.2,3,1.95,11.59,0.12,8.56
2.3,3,1.94,11.64,0.12,8.57
2.3,3,1.93,11.7,0.12,8.58
2.3,3,1.93,11.75,0.12,8.59
2.36,3,1.93,11.8,0.12,8.6
2.3,3,1.93,11.84,0.12,8.61
2.36,3,1.92,11.89,0.12,8.62
2.36,3,1.93,11.94,0.12,8.63
2.47,3,1.93,11.99,0.12,8.64
2.47,3,1.94,12.04,0.12,8.65
2.36,3,1.93,12.09,0.12,8.66
2.41,3,1.93,12.13,0.12,8.67
2.47,3,1.91,12.18,0.12,8.68
2.47,3,1.9,12.23,0.12,8.69
2.47,3,1.9,12.27,0.12,8.7
2.47,3,1.9,12.32,0.12,8.71
2.41,3,1.9,12.36,0.12,8.72
2.47,3,1.9,12.41,0.12,8.73
2.52,3,1.89,12.45,0.12,8.74
2.52,3,1.89,12.5,0.12,8.75
2.52,3,1.88,12.54,0.12,8.76
2.52,3,1.88,12.59,0.12,8.77
2.52,3,1.87,12.63,0.13,8.78
2.47,3,1.87,12.67,0.13,8.79
2.58,3,1.85,12.71,0.13,8.8
2.52,3,1.86,12.76,0.13,8.81
2.63,3,1.87,12.8,0.13,8.82
2.52,3,1.86,12.84,0.13,8.83
2.58,3,1.85,12.88,0.13,8.84
2.58,3,1.85,12.92,0.13,8.85
2.58,3,1.84,12.96,0.13,8.86
2.74,3,1.83,13,0.13,8.87
2.58,3,1.83,13.04,0.13,8.88
2.63,3,1.83,13.08,0.13,8.89
2.63,3,1.83,13.12,0.13,8.9
2.63,3,1.82,13.16,0.13,8.91
2.69,3,1.81,13.2,0.13,8.92
2.63,3,1.81,13.24,0.13,8.93
2.58,3,1.8,13.28,0.13,8.94
2.74,3,1.81,13.32,0.13,8.95
2.74,3,1.81,13.35,0.13,8.96
2.63,3,1.79,13.39,0.13,8.97
2.63,3,1.78,13.43,0.13,8.98
2.74,3,1.78,13.46,0.13,8.99
2.74,3,1.77,13.5,0.13,9
2.74,3,1.76,13.54,0.13,9.01
2.8,3,1.75,13.57,0.13,9.02
2.74,3,1.75,13.61,0.13,9.03
2.74,3,1.74,13.64,0.13,9.04
2.8,3,1.73,13.68,0.13,9.05
2.8,3,1.73,13.71,0.13,9.06
2.74,3,1.74,13.75,0.13,9.07
2.8,3,1.73,13.78,0.13,9.08
2.8,3,1.72,13.81,0.13,9.09
2.85,3,1.72,13.85,0.13,9.1
2.8,3,1.71,13.88,0.13,9.11
2.74,3,1.7,13.91,0.13,9.12
2.8,3,1.68,13.95,0.13,9.13
2.85,3,1.7,13.98,0.13,9.14
2.8,3,1.7,14.01,0.13,9.15
2.91,3,1.71,14.04,0.13,9.16
2.85,3,1.69,14.07,0.13,9.17
2.85,3,1.67,14.1,0.13,9.18
2.85,3,1.69,14.14,0.13,9.19
2.85,3,1.69,14.17,0.13,9.2
2.8,3,1.69,14.2,0.13,9.21
2.91,3,1.66,14.23,0.13,9.22
2.91,3,1.67,14.26,0.13,9.23
2.8,3,1.67,14.29,0.13,9.24
2.85,3,1.66,14.32,0.13,9.25
2.91,3,1.66,14.35,0.13,9.26
2.85,3,1.66,14.38,0.13,9.27
