22.92,30,2.29,0,0.73,8.19
22.92,30,2.24,0,0.74,8.2
23,30,2.19,0,0.74,8.21
23.16,30,2.15,0,0.74,8.22
23.16,30,2.13,0,0.74,8.23
23.32,30,2.08,0,0.74,8.24
23.32,30,2.07,0,0.75,8.25
23.64,30,2.07,0,0.75,8.26
23.64,30,2,0,0.75,8.27
23.8,30,1.94,0,0.75,8.28
23.64,30,1.9,0,0.75,8.29
23.8,30,1.91,0,0.76,8.3
24.04,30,1.89,0,0.76,8.31
23.96,30,1.87,0,0.76,8.32
24.04,30,1.83,0,0.76,8.33
24.12,30,1.82,0,0.76,8.34
24.28,30,1.76,0,0.76,8.35
24.36,30,1.74,0,0.77,8.36
24.44,30,1.72,0,0.77,8.37
24.52,30,1.69,0,0.77,8.38
24.6,30,1.67,0,0.77,8.39
24.6,30,1.69,0,0.77,8.4
24.76,30,1.66,0,0.77,8.41
24.76,30,1.57,0,0.77,8.42
25.01,30,1.57,0,0.78,8.43
25.01,30,1.5,0,0.78,8.44
25.17,30,1.5,0,0.78,8.45
25.17,30,1.47,0,0.78,8.46
25.25,30,1.47,0,0.78,8.47
25.17,30,1.46,0,0.78,8.48
25.41,30,1.44,0,0.78,8.49
25.33,30,1.42,0,0.79,8.5
25.41,30,1.38,0,0.79,8.51
25.58,30,1.33,0,0.79,8.52
25.66,30,1.3,0,0.79,8.53
25.66,30,1.3,0,0.79,8.54
25.82,30,1.27,0,0.79,8.55
25.74,30,1.26,0,0.79,8.56
25.82,30,1.24,0,0.79,8.57
25.9,30,1.24,0,0.8,8.58
25.98,30,1.23,0,0.8,8.59
26.07,30,1.2,0,0.8,8.6
26.23,30,1.18,0,0.8,8.61
26.23,30,1.14,0,0.8,8.62
26.31,30,1.1,0,0.8,8.63
26.23,30,1.09,0,0.8,8.64
26.31,30,1.07,0,0.8,8.65
26.48,30,1.05,0,0.8,8.66
26.48,30,1.05,0,0.81,8.67
26.4,30,1.04,0,0.81,8.68
26.48,30,1.05,0,0.81,8.69
26.64,30,1.02,0,0.81,8.7
26.56,30,1,0,0.81,8.71
26.64,30,1,0,0.81,8.72
26.64,30,0.99,0,0.81,8.73
26.81,30,0.97,0,0.81,8.74
26.73,30,0.95,0,0.81,8.75
26.89,30,0.94,0,0.81,8.76
26.73,30,0.95,0,0.82,8.77
26.89,30,0.91,0,0.82,8.78
26.97,30,0.88,0,0.82,8.79
26.97,30,0.87,0,0.82,8.8
27.14,30,0.85,0,0.82,8.81
27.06,30,0.86,0,0.82,8.82
27.14,30,0.83,0,0.82,8.83
27.14,30,0.82,0,0.82,8.84
27.06,30,0.83,0,0.82,8.85
27.22,30,0.83,0,0.82,8.86
27.31,30,0.82,0,0.82,8.87
27.22,30,0.83,0,0.82,8.88
27.39,30,0.8,0,0.83,8.89
27.31,30,0.8,0,0.83,8.9
27.56,30,0.74,0,0.83,8.91
27.39,30,0.76,0,0.83,8.92
27.56,30,0.76,0,0.83,8.93
27.56,30,0.69,0,0.83,8.94
27.56,30,0.7,0,0.83,8.95
27.64,30,0.67,0,0.83,8.96
27.56,30,0.72,0,0.83,8.97
27.72,30,0.67,0,0.83,8.98
27.64,30,0.67,0,0.83,8.99
27.64,30,0.64,0,0.83,9
27.72,30,0.66,0,0.83,9.01
27.81,30,0.64,0,0.83,9.02
27.89,30,0.62,0,0.83,9.03
27.81,30,0.62,0,0.84,9.04
27.81,30,0.62,0,0.84,9.05
27.97,30,0.61,0,0.84,9.06
27.89,30,0.6,0,0.84,9.07
27.89,30,0.62,0,0.84,9.08
28.06,30,0.59,0,0.84,9.09
27.97,30,0.58,0,0.84,9.1
27.97,30,0.6,0,0.84,9.11
28.06,30,0.58,0,0.84,9.12
28.06,30,0.57,0,0.84,9.13
28.14,30,0.59,0,0.84,9.14
28.06,30,0.55,0,0.84,9.15
28.06,30,0.54,0,0.84,9.16
28.22,30,0.53,0,0.84,9.17
28.22,30,0.53,0,0.84,9.18
28.22,30,0.51,0,0.84,9.19
28.22,30,0.47,0,0.84,9.2
28.31,30,0.48,0,0.84,9.21
28.22,30,0.51,0,0.84,9.22
28.31,30,0.49,0,0.85,9.23
28.31,30,0.53,0,0.85,9.24
28.39,30,0.47,0,0.85,9.25
28.39,30,0.48,0,0.85,9.26
28.39,30,0.45,0,0.85,9.27
28.48,30,0.45,0,0.85,9.28
28.48,30,0.44,0,0.85,9.29
28.48,30,0.46,0,0.85,9.3
28.48,30,0.46,0,0.85,9.31
